GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Sat_evidence,Ref_scientific,Ref_scientific_full,Ref_other,Remarks
405,2003,2003,NA,NA,Unnamed,Kuturgansuu,Ephemeral,NA,G074608E42515N,42.522,74.609,3470,42.535,74.658,2170,Deposit,Moraine dammed,N,Y,13_3,4,Kyrgyzstan,,Alamedin,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Zaginaev et al., 2019)","Zaginaev, V., Petrakov, D., Erokhin, S., Meleshko, A., Stoffel, M., Ballesteros-Cánovas, J.A., 2019. Geomorphic control on regional glacier lake outburst flood and debris flow activity over northern Tien Shan. Global and Planetary Change 176, 50–59. https://doi.org/10.1016/j.gloplacha.2019.03.003",,
406,2003,2003,NA,NA,Unnamed,Gongpa-Rangchong,GL076963E34467N,"2, 4",G076961E34458N,34.467,76.963,5117,34.392738,76.758152,2928,Observation,Moraine dammed,Y,N,14_2,10,India,Ladakh,Indus,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bridges damaged,,,,,"(Ikeda, Narama and Gyalson, 2016)","Ikeda, N., Narama, C., Gyalson, S., 2016. Knowledge Sharing for Disaster Risk Reduction: Insights from a Glacier Lake Workshop in the Ladakh Region, Indian Himalayas. mred 36, 31–40. https://doi.org/10.1659/MRD-JOURNAL-D-15-00035.1",,"Unclear which lake it exactly came from, traced back from deposits according to satellite imagery. Domkhar Village impacted"
408,2004,2004,8,7,Merzbacher,Southern Inylshek,GL079841E42200N,2,G080193E42063N,42.196,79.847,3271,NA,NA,NA,NA,Ice dammed,N,Y,13_3,3,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Glazirin, 2010)","Glazirin, G., 2010. A century of investigations on outbursts of the ice-dammed lake merzbacher (Central Tien Shan). Austrian Journal of Earth Sciences 103, 171–179.",,
409,2004,2004,6,NA,Unknown,Halji,Ephemeral,NA,G081470E30264N,30.27,81.475,5347,30.219,81.514,3706,Observation,Supraglacial,Y,Y,15_1,11,Nepal,Karnali,Humla,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Kropacek et al., 2015)","Kropácek, J., Neckel, N., Tyrna, B., Holzer, N., Hovden, A., Gourmelen, N., Schneider, C., Buchroithner, M., Hochschild, V., 2015. Repeated glacial lake outburst flood threatening the oldest Buddhist monastery in north-western Nepal. Natural Hazards and Earth System Sciences 15, 2425–2437. https://doi.org/10.5194/nhess-15-2425-2015",,
413,2005,2005,9,2,Kyagar,Unnamed,GL077181E35675N,"2, 3, 4",G077158E35562N,35.677371,77.190788,4880,37.982034,76.877846,1450,Observation,Ice dammed,N,Y,14_2,9,China,Xinjiang,Yarkant,Surging glacier,Unknown,Unknown,,,1880,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt and Liu, 2010; Carrivick and Tweed, 2016; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528; Carrivick, J.L., Tweed, F.S., 2016. A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change 144, 1–16. https://doi.org/10.1016/j.gloplacha.2016.07.001; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,
414,2005,2005,7,13,Merzbacher,Southern Inylshek,GL079841E42200N,2,G080193E42063N,42.196,79.847,3271,NA,NA,NA,NA,Ice dammed,N,Y,13_3,3,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Shangguan et al., 2017; Kingslake and Ng, 2013; Glazirin, 2010)","Shangguan, D., Ding, Y., Liu, S., Xie, Z., Pieczonka, T., Xu, J., Moldobekov, B., 2017. Quick Release of Internal Water Storage in a Glacier Leads to Underestimation of the Hazard Potential of Glacial Lake Outburst Floods From Lake Merzbacher in Central Tian Shan Mountains. Geophysical Research Letters 44, 9786–9795. https://doi.org/10.1002/2017GL074443; Kingslake, J., Ng, F., 2013. Quantifying the predictability of the timing of jökulhlaups from Merzbacher Lake, Kyrgyzstan. Journal of Glaciology 59, 805–818. https://doi.org/10.3189/2013JoG12J156; Glazirin, G., 2010. A century of investigations on outbursts of the ice-dammed lake merzbacher (Central Tien Shan). Austrian Journal of Earth Sciences 103, 171–179.",https://www.researchgate.net/profile/Wilfried-Hagg/publication/259121312_The_2005_Lake_Merzbacher_GLOF_event_and_status_of_future_planned_activities_in_the_Tien_Shan_region/links/0deec52a04b5497cb8000000/The-2005-Lake-Merzbacher-GLOF-event-and-status-of-future-planned-activities-in-the-Tien-Shan-region.pdf,
411,2005,2005,7,25,Sosot,Sosot,GL073196E36026N,"2, 3, 4",G073197E36026N,36.027,73.196,4485,36.163,73.134,2474,Observation,Moraine dammed,N,Y,14_1,8,Pakistan,Gilgit - Baltistan,Gilgit,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,"Bridge damage, Considerable property of a small village of tehsil Gupis",,,,,"(Haq, 2007)","Haq, A., 2007. Community Response to Climatic Hazards in Northern Pakistan. Mountain Research and Development 27, 308–312. https://doi.org/10.1659/mrd.0947",,
412,2005,2005,7,NA,Unnamed,Teztor,Not mapped,NA,Not mapped,42.5366,74.4273,3606,42.58,74.481,2015,Deposit,Moraine dammed,N,Y,13_3,4,Kyrgyzstan,,Ala Archa,Unknown,High temperatures,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Erokhin et al., 2018)","Erokhin, S.A., Zaginaev, V.V., Meleshko, A.A., Ruiz-Villanueva, V., Petrakov, D.A., Chernomorets, S.S., Viskhadzhieva, K.S., Tutubalina, O.V., Stoffel, M., 2018. Debris flows triggered from non-stationary glacier lake outbursts: the case of the Teztor Lake complex (Northern Tian Shan, Kyrgyzstan). Landslides 15, 83–98. https://doi.org/10.1007/s10346-017-0862-3",,
415,2005,2005,9,NA,Dalonggongba,Unnamed,GL096466E29753N,"2, 3, 4",G096470E29743N,29.752955,96.465935,5059,29.766,96.426,4335,Deposit,Moraine dammed,N,N,15_3,18,China,TAR,Bomi,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Veh et al., 2019; Liu et al., 2019)","Veh, G., Korup, O., von Specht, S., Roessner, S., Walz, A., 2019. Unchanged frequency of moraine-dammed glacial lake outburst floods in the Himalaya. Nature Climate Change 9, 379–383. https://doi.org/10.1038/s41558-019-0437-5; Liu, J., Zhang, J., Bo, G., 2019. An overview of glacial lake outburst floods in Tibet, China. Journal of Glaciology and Geocryology 41. http://www.bcdt.ac.cn/EN/10.7522/j.issn.1000-0240.2019.0073",,
410,2005,2005,6,NA,Brep,Brep,Ephemeral,NA,G072717E36370N,36.384,72.706,4330,36.423,72.647,2440,Observation,Water pocket,Y,N,14_2,9,Pakistan,Khyber Pakhtunkhwa,Chitral,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,73,2,15,,"Road, communication system, irrigation channels",,,,,"(Haq, 2007)","Haq, A., 2007. Community Response to Climatic Hazards in Northern Pakistan. Mountain Research and Development 27, 308–312. https://doi.org/10.1659/mrd.0947",https://reliefweb.int/report/pakistan/pakistan-floods-ocha-situation-report-no-5,100 families displaced in total with event in Sonoghur 2007
