GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commercial_destroyed,Residential_damaged,Commercial_damaged,Infra,Agricultural,Hydropower,Econ_damage,Ref_scientific,Ref_other,Removal_reason,Certainty
R76,1971,1971,8,17,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
R77,1972,1972,10,4,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
R78,1973,1973,7,15,No 7,Unknown,NA,NA,NA,42.889,76.345,3260,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Uzyn Kargaly ,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'",1
R79,1973,1973,9,4,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
R80,1974,1974,7,10,Unnamed,Topkaragay,GL074519E42490N,3,G074547E42486N,42.488,74.523,3680,42.58,74.481,2015,Deposit,Moraine dammed,N,Y,13-03,4,Kyrgyzstan,,Ala Archa,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,Stored as a duplicate in the Veh2022 database,0
R81,1974,1974,8,8,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
R82,1975,1975,8,18,Unknown,Molodeshnyi,NA,NA,NA,43.015885,77.024342,3481,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Ulken Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'likely a GLOF'; however in the topography a lake is unlikely",1
R83,1975,1975,8,19,Unknown,Kumbel,NA,NA,NA,43.060202,77.043572,3400,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Ulken Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'likely a GLOF'; however in the topography a lake is unlikely",1
R84,1975,1975,8,28,No 9,Unknown,NA,NA,NA,42.889,76.345,3260,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Uzyn Kargaly ,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'",1
R85,1975,1975,9,12,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
R86,1976,1976,6,21,No 6,Turistov,NA,NA,NA,43.012914,77.054539,3518,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Talgar,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'",1
R87,1976,1976,6,24,No 6,Turistov,NA,NA,NA,43.012914,77.054539,3518,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Talgar,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'",1
R88,1976,1976,7,10,No 5,Kalesnika,NA,NA,NA,43.015923,77.114213,2416,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Talgar,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'",1
R89,1976,1976,8,24,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
R90,1977,1977,7,3,No 17,Zharsay,NA,NA,NA,43.152,77.408,3380,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Esik,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'; possibly a mix up of dates as there was an event on 1977/7/3",1
R91,1977,1977,6,3,No 51,Sovetov,NA,NA,NA,43.015885,77.024342,3480,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Ulken Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'likely a GLOF'; however in the topography a lake is unlikely",1
R92,1977,1977,6,3,No 50,Sovetov,NA,NA,NA,43.015885,77.024342,3480,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Ulken Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'likely a GLOF'; however in the topography a lake is unlikely",1
R93,1977,1977,8,3,No 13,Sovetov,NA,NA,NA,43.044088,77.031527,3390,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Ulken Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'likely a GLOF'; however in the topography a lake is unlikely",1
R94,1978,1978,5,24,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
R95,1988,1988,12,12,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
R96,1989,1989,8,31,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
