GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Ref_scientific,Ref_other,Remarks
GF076814E41987N_0,2013,2013,8,15,Jeruy,not mapped,not mapped,NA,G076812E41986N,41.9871,76.8145,3815,42.079135,76.863884,1973,Observation,Moraine dammed,N,N,13-03,4,Kyrgyzstan,,,unknown,unknown,subglacial tunnel,,182000,,,,,,,,,,,,,,,,,,,,,,,,,"(Narama et al., 2010)",,"bridge collapse and damaged an irrigation channel, a road, many tombs, an agriculture field, and a property fence"
GF089268E27789N_0,Before 1966,NA,NA,NA,Jhomohari South,unnamed,GL089268E27789N,"1, 2, 3, 4",G089269E27806N,27.789,89.267,4550,27.785,89.265,4359,Deposit,Moraine dammed,N,N,15-02,12,Bhutan,Thimphu,Pa Chhu ,unknown,ice avalanche,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Komori et al., 2012)",,
GF085849E28212N_0,2002,2002,5,23,Jialong Co,Jialong,GL085849E28212N,"1, 2, 3, 4",G085834E28193N,28.213134,85.850819,4369,28.19297,85.92412,4075,Deposit,Moraine dammed,Y,Y,15-02,11,China,TAR,Poiqu,unknown,ice avalanche,unknown,21000,100000,1242,,,,,,,,,,,,,,,,,,,,,,,,"(Cui et al. 2010; Liu et al., 2014; Carrivick and Tweed, 2016; Nie et al., 2018)",,
GF085849E28212N_1,2002,2002,6,29,Jialong Co,Jialong,GL085849E28212N,"1, 2, 3, 4",G085834E28193N,28.213134,85.850819,4369,28.19297,85.92412,4075,Deposit,Moraine dammed,Y,Y,15-02,11,China,TAR,Poiqu,unknown,unknown,moraine collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Liu et al., 2014; Carrivick and Tweed, 2016; Nie et al., 2018)",,
GF089312E27878N_0,Before 1966,NA,NA,NA,JiChudrake North 1,unnamed,GL089312E27878N,"1, 2, 3, 4",G089315E27862N,27.88,89.31,5010,27.893,89.314,3950,Deposit,Moraine dammed,N,N,15-02,12,China,TAR,Nian Chu,unknown,ice calving,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Komori et al., 2012)",,
GF089351E27884N_1,Before 1966,NA,NA,NA,Jichudrake North 2,unnamed,GL089351E27884N,"1, 2, 3, 4",G089351E27872N,27.885,89.351,4990,27.933,89.348,4605,Deposit,Moraine dammed,N,N,15-02,12,China,TAR,Nian Chu,unknown,ice avalanche,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Komori et al., 2012)",,
GF087909E27951N_1,2015,2015,NA,NA,Jin Co/Yindapu Co,unnamed,GL087909E27951N,"1, 2, 3, 4",G087888E27924N,27.951,87.908,5172,27.988,87.951,4886,Deposit,Moraine dammed,,N,15-02,11,China,TAR,Pumqu,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Veh et al., 2019)",,GLOF predicted between 2015-10-09 and 2015-10-25 based on satellite image
GF087909E27951N_0,1982,1982,8,27,Jin Co/Yindapu Co,unnamed,GL087909E27951N,"1, 2, 3, 4",G087888E27924N,27.951,87.908,5172,27.988,87.951,4886,Deposit,Moraine dammed,Y,N,15-02,11,China,TAR,Pumqu,unknown,ice avalanche,dam piping,512000,4270000,,,,,,,,,,,,,,,,1600,Damage in 8 villages,,,,"roads, bridges",280000,,,"(Yamada and Sharma, 1993; Cui et al., 2010; Ives, Shrestha and Mool, 2010; ICIMOD, 2011; Veh et al., 2019)",,
GF093631E30357N_0,2020,2020,6,26,Jinwuco,Jinwu ,GL093631E30357N,"1, 2, 3, 4",G093636E30321N,30.356,93.631,4447,NA,NA,NA,NA,Moraine dammed,N,N,13-09,18,China,TAR,Yigong Zangbo,unknown,high temperatures; intense rainfall; landslide,unknown,,9500000,,,,,,,,,,,,,,,,,10,,1,,"43.9 km of road washed away, 18 bridges damaged",200000,,,"(Zheng et al., 2021)",,
GF094324E30684N_0,2002 - 2003,NA,NA,NA,Jitang South,unnamed,GL094324E30684N,"1, 2, 3, 4",G094326E30627N,30.6842,94.3239,4128,30.725,94.325,3780,Deposit,Moraine dammed,N,N,13-09,18,China,TAR,Yigong Zangbo,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Veh et al., 2019)",,between 2002-10-24 to 2003-10-11 
